##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	Hl22042008-f-P_S10_L001_R1_001.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	41480263
Total Bases	6.2 Gbp
Sequences flagged as poor quality	0
Sequence length	151
%GC	47
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	36.181330238913866	37.0	37.0	37.0	37.0	37.0
2	36.127642464562	37.0	37.0	37.0	37.0	37.0
3	36.29689503174076	37.0	37.0	37.0	37.0	37.0
4	36.32322410781243	37.0	37.0	37.0	37.0	37.0
5	36.3437790160588	37.0	37.0	37.0	37.0	37.0
6	36.347967827494244	37.0	37.0	37.0	37.0	37.0
7	36.286653703232304	37.0	37.0	37.0	37.0	37.0
8	36.34307547664295	37.0	37.0	37.0	37.0	37.0
9	36.35179403274275	37.0	37.0	37.0	37.0	37.0
10-14	36.35958112898175	37.0	37.0	37.0	37.0	37.0
15-19	36.31275634390264	37.0	37.0	37.0	37.0	37.0
20-24	36.29312316076684	37.0	37.0	37.0	37.0	37.0
25-29	36.21875515591596	37.0	37.0	37.0	37.0	37.0
30-34	36.17916348312449	37.0	37.0	37.0	37.0	37.0
35-39	36.14619591491019	37.0	37.0	37.0	37.0	37.0
40-44	36.09848675742485	37.0	37.0	37.0	37.0	37.0
45-49	36.02993940997915	37.0	37.0	37.0	37.0	37.0
50-54	36.013193474689395	37.0	37.0	37.0	37.0	37.0
55-59	35.95762794946599	37.0	37.0	37.0	37.0	37.0
60-64	35.913119581715286	37.0	37.0	37.0	37.0	37.0
65-69	35.83650872223255	37.0	37.0	37.0	37.0	37.0
70-74	35.80583020411419	37.0	37.0	37.0	37.0	37.0
75-79	35.79174240529767	37.0	37.0	37.0	37.0	37.0
80-84	35.74176163733581	37.0	37.0	37.0	37.0	37.0
85-89	35.70275080946328	37.0	37.0	37.0	37.0	37.0
90-94	35.645716600205745	37.0	37.0	37.0	37.0	37.0
95-99	35.58321787882589	37.0	37.0	37.0	37.0	37.0
100-104	35.5339135916279	37.0	37.0	37.0	37.0	37.0
105-109	35.47871665616007	37.0	37.0	37.0	37.0	37.0
110-114	35.447115246111146	37.0	37.0	37.0	37.0	37.0
115-119	35.39020306597381	37.0	37.0	37.0	37.0	37.0
120-124	35.15790274039487	37.0	37.0	37.0	25.0	37.0
125-129	35.244417481152425	37.0	37.0	37.0	27.4	37.0
130-134	35.14456088188255	37.0	37.0	37.0	25.0	37.0
135-139	34.957381268291385	37.0	37.0	37.0	25.0	37.0
140-144	34.951617891140174	37.0	37.0	37.0	25.0	37.0
145-149	34.741686300301424	37.0	37.0	37.0	25.0	37.0
150-151	34.17776431407872	37.0	37.0	37.0	25.0	37.0
>>END_MODULE
>>Per tile sequence quality	warn
#Tile	Base	Mean
1103	70-74	-0.29938905063598753
1103	75-79	-0.30215632240162194
1103	80-84	-0.3439808242042872
1103	85-89	-0.29321758149507815
1103	90-94	-0.26127035757625094
1103	95-99	-0.35352597253080376
1103	100-104	-0.32296851979185703
1103	105-109	-0.2832567879774217
1103	110-114	-0.41009977077303716
1103	115-119	-0.533023820461402
1103	120-124	-0.48948306194427715
1103	125-129	-0.4574750122414457
1103	130-134	-0.5383366984234925
1103	135-139	-0.5678451914274376
1103	140-144	-0.48648055655225164
1103	145-149	-0.4648875992747534
1103	150-151	-0.2941235704727774
1104	1	0.09755140305020404
1104	2	-0.005577376993514349
1104	3	0.015565631174354166
1104	4	-0.05167549905847579
1104	5	-0.007177948267582224
1104	6	0.004505402737429165
1104	7	-0.009135815714643059
1104	8	-0.014889798367377693
1104	9	0.0037653941947297653
1104	10-14	-0.010653138156008879
1104	15-19	-0.08809139228809926
1104	20-24	-0.06411414184778863
1104	25-29	-0.09430349356698287
1104	30-34	-0.08084490274354295
1104	35-39	-0.1260676301613728
1104	40-44	-0.15223028802872562
1104	45-49	-0.130464907835389
1104	50-54	-0.11813466514034587
1104	55-59	-0.13923290127432608
1104	60-64	-0.21522975463844318
1104	65-69	-0.19447640263508248
1104	70-74	-0.22444940447689277
1104	75-79	-0.2294580698046147
1104	80-84	-0.25730817726839916
1104	85-89	-0.3075414065718505
1104	90-94	-0.27383500390031656
1104	95-99	-0.27780723914928274
1104	100-104	-0.31864684896115136
1104	105-109	-0.24948495533872972
1104	110-114	-0.24929736079396037
1104	115-119	-0.3221085924151197
1104	120-124	-0.3579306893479952
1104	125-129	-0.22193884864818614
1104	130-134	-0.30206508978826463
1104	135-139	-0.3506804500662639
1104	140-144	-0.36604550149872495
1104	145-149	-0.28180092882752206
1104	150-151	-0.25992106459626285
1105	1	-0.05979794119549098
1105	2	-0.08105204220225914
1105	3	-0.18714597794409116
1105	4	-0.06961525687321313
1105	5	-0.11252202686899437
1105	6	-0.047427940361075116
1105	7	-0.1579862793542972
1105	8	-0.09301387558695495
1105	9	-6.650942293902062E-4
1105	10-14	-0.0841012564948258
1105	15-19	-0.10238637575510268
1105	20-24	-0.06377902649430922
1105	25-29	-0.1521297369416601
1105	30-34	-0.13182831193082478
1105	35-39	-0.13503955051668726
1105	40-44	-0.10203665594563205
1105	45-49	-0.18294317349273825
1105	50-54	-0.1724634462434338
1105	55-59	-0.12287892631936614
1105	60-64	-0.19771240270339518
1105	65-69	-0.21766488704079023
1105	70-74	-0.24254011023126765
1105	75-79	-0.2726925200682544
1105	80-84	-0.20804492887967285
1105	85-89	-0.2366817250248232
1105	90-94	-0.34289447604744794
1105	95-99	-0.3011541915729623
1105	100-104	-0.300800401708905
1105	105-109	-0.18064391315520822
1105	110-114	-0.32204133356789555
1105	115-119	-0.28703353642058005
1105	120-124	-0.30995771553600093
1105	125-129	-0.3497934919910861
1105	130-134	-0.32795583536826456
1105	135-139	-0.3092794088085995
1105	140-144	-0.44938591036152076
1105	145-149	-0.33949334063634495
1105	150-151	-0.2902419807106824
1106	1	0.021248439002924613
1106	2	-0.13076694169583192
1106	3	-0.14527743986188568
1106	4	0.041712099943630676
1106	5	-0.029633086263700648
1106	6	6.872409583564831E-4
1106	7	-0.08949842682719122
1106	8	-0.05907022998640343
1106	9	-0.05080768601346364
1106	10-14	-0.0066817230287838925
1106	15-19	-0.07625949139326593
1106	20-24	-0.11618397759638555
1106	25-29	-0.17882446135020302
1106	30-34	-0.20843976068358216
1106	35-39	-0.19688309054833297
1106	40-44	-0.18858683586483949
1106	45-49	-0.19559434769081463
1106	50-54	-0.2017933109197969
1106	55-59	-0.20161657359594898
1106	60-64	-0.3196203513011824
1106	65-69	-0.32480571222816224
1106	70-74	-0.2981208175435057
1106	75-79	-0.33161512714474384
1106	80-84	-0.3528133727195524
1106	85-89	-0.33668570695280664
1106	90-94	-0.2343326412112745
