##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	trimmed_Hl22042008-f-P_S10_L001_R1_001.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	41373400
Total Bases	6.2 Gbp
Sequences flagged as poor quality	0
Sequence length	36-151
%GC	47
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	36.183376565619454	37.0	37.0	37.0	37.0	37.0
2	36.126906780685175	37.0	37.0	37.0	37.0	37.0
3	36.2969467097217	37.0	37.0	37.0	37.0	37.0
4	36.32328389738334	37.0	37.0	37.0	37.0	37.0
5	36.344293749123835	37.0	37.0	37.0	37.0	37.0
6	36.34834492693373	37.0	37.0	37.0	37.0	37.0
7	36.28551740973669	37.0	37.0	37.0	37.0	37.0
8	36.34292506779718	37.0	37.0	37.0	37.0	37.0
9	36.351999980663905	37.0	37.0	37.0	37.0	37.0
10-14	36.35930644327031	37.0	37.0	37.0	37.0	37.0
15-19	36.31232877162621	37.0	37.0	37.0	37.0	37.0
20-24	36.29259485563188	37.0	37.0	37.0	37.0	37.0
25-29	36.21832516544447	37.0	37.0	37.0	37.0	37.0
30-34	36.17879937834455	37.0	37.0	37.0	37.0	37.0
35-39	36.1457597885518	37.0	37.0	37.0	37.0	37.0
40-44	36.101235344278244	37.0	37.0	37.0	37.0	37.0
45-49	36.05892726746616	37.0	37.0	37.0	37.0	37.0
50-54	36.033813735439814	37.0	37.0	37.0	37.0	37.0
55-59	35.9997107407111	37.0	37.0	37.0	37.0	37.0
60-64	35.95493915575006	37.0	37.0	37.0	37.0	37.0
65-69	35.882799343709664	37.0	37.0	37.0	37.0	37.0
70-74	35.84428246170951	37.0	37.0	37.0	37.0	37.0
75-79	35.80317359859758	37.0	37.0	37.0	37.0	37.0
80-84	35.7486296506307	37.0	37.0	37.0	37.0	37.0
85-89	35.70713809692914	37.0	37.0	37.0	37.0	37.0
90-94	35.64854755150778	37.0	37.0	37.0	37.0	37.0
95-99	35.58498205764848	37.0	37.0	37.0	37.0	37.0
100-104	35.53509970641767	37.0	37.0	37.0	37.0	37.0
105-109	35.47955757389999	37.0	37.0	37.0	37.0	37.0
110-114	35.44781515794709	37.0	37.0	37.0	37.0	37.0
115-119	35.39094274720494	37.0	37.0	37.0	37.0	37.0
120-124	35.15888806026955	37.0	37.0	37.0	25.0	37.0
125-129	35.24642048282282	37.0	37.0	37.0	27.4	37.0
130-134	35.14831005486884	37.0	37.0	37.0	25.0	37.0
135-139	34.964303747502356	37.0	37.0	37.0	25.0	37.0
140-144	34.964025684896015	37.0	37.0	37.0	25.0	37.0
145-149	34.761943545517134	37.0	37.0	37.0	25.0	37.0
150-151	34.21569624797	37.0	37.0	37.0	25.0	37.0
>>END_MODULE
>>Per tile sequence quality	warn
#Tile	Base	Mean
1104	3	0.022294627813856494
1104	4	-0.0900982470068854
1104	5	-0.008897429052964867
1104	6	0.003523644195318809
1104	7	-0.16760710832632952
1104	8	-0.1248600246252849
1104	9	-0.14343549957483503
1104	10-14	-0.07110214683949323
1104	15-19	-0.0961431675605624
1104	20-24	-0.07777436131073046
1104	25-29	-0.16385110240891265
1104	30-34	-0.15743172845367326
1104	35-39	-0.155228002635873
1104	40-44	-0.2158638928956833
1104	45-49	-0.1830359260602492
1104	50-54	-0.14438959626879466
1104	55-59	-0.18935724062779968
1104	60-64	-0.2262315004183506
1104	65-69	-0.23157082619243852
1104	70-74	-0.25092983218286946
1104	75-79	-0.2685822053643605
1104	80-84	-0.3282613407998056
1104	85-89	-0.26835997045854043
1104	90-94	-0.2895563286255083
1104	95-99	-0.3657558241417931
1104	100-104	-0.26524055738670427
1104	105-109	-0.2862630710407075
1104	110-114	-0.3262602598056361
1104	115-119	-0.3395773055356912
1104	120-124	-0.372119196105416
1104	125-129	-0.3941462644249967
1104	130-134	-0.3439293656816176
1104	135-139	-0.4879596071921313
1104	140-144	-0.4258306482194669
1104	145-149	-0.29745459080174186
1104	150-151	-0.2800866722936419
1105	1	-0.04782333822693374
1105	2	0.0758224714456972
1105	3	-0.09218258799788259
1105	4	-0.033176968184662314
1105	5	-0.08637784811108418
1105	6	-0.038355906551373664
1105	7	-0.04642833762205356
1105	8	0.012973031119990708
1105	9	-3.339622562137379E-4
1105	10-14	-0.06796691951684153
1105	15-19	-0.013735560449518402
1105	20-24	-0.0725197791107135
1105	25-29	-0.10870084539032376
1105	30-34	-0.15681152882991256
1105	35-39	-0.15639673673022259
1105	40-44	-0.11609715916679164
1105	45-49	-0.1825846942513465
1105	50-54	-0.24140539223503055
1105	55-59	-0.17010639424690055
1105	60-64	-0.2719687056832072
1105	65-69	-0.22740952142833493
1105	70-74	-0.23709276674816238
1105	75-79	-0.24078199125088418
1105	80-84	-0.22650675170980605
1105	85-89	-0.28914387337533043
1105	90-94	-0.3016219634115842
1105	95-99	-0.3198335064400126
1105	100-104	-0.3272979759602208
1105	105-109	-0.24919005017812879
1105	110-114	-0.3507250537493789
1105	115-119	-0.32212802692757236
1105	120-124	-0.35457183741281284
1105	125-129	-0.30661398541103324
1105	130-134	-0.3088102816387561
1105	135-139	-0.3224631581359745
1105	140-144	-0.38235565386359127
1105	145-149	-0.3454037738331479
1105	150-151	-0.32275807457251204
1106	1	0.07814333084382952
1106	2	-0.18122172727456842
1106	3	-0.012350824287871376
1106	4	0.008269185700427784
1106	5	-0.015308138108643732
1106	6	0.04872408793185201
1106	7	0.006511938241935411
1106	8	-0.10671818139346811
1106	9	-0.09615880216222905
1106	10-14	-0.06368215783260922
1106	15-19	-0.0326753023505546
1106	20-24	-0.09434565404444584
1106	25-29	-0.1698006825442775
1106	30-34	-0.16653370360282338
1106	35-39	-0.19031554631744996
1106	40-44	-0.1864677316580341
1106	45-49	-0.26324746321014914
1106	50-54	-0.1723647367021286
1106	55-59	-0.18695316645294469
1106	60-64	-0.23207613122152537
1106	65-69	-0.2786214832210021
1106	70-74	-0.33393315603529317
1106	75-79	-0.3245392297501226
1106	80-84	-0.3329412063352777
1106	85-89	-0.367544253291193
1106	90-94	-0.33862858018570563
1106	95-99	-0.34186538022856183
1106	100-104	-0.4025909049651659
1106	105-109	-0.31863832911301415
1106	110-114	-0.4210148038848871
1106	115-119	-0.3770792295573031
1106	120-124	-0.4095973254938059
1106	125-129	-0.38346701774544556
1106	130-134	-0.5398567795593863
1106	135-139	-0.46860825112544546
1106	140-144	-0.6146006434456197
1106	145-149	-0.44292206338108997
1106	150-151	-0.2850419533795403
1107	1	-0.03583592164181937
1107	2	0.007930635737764646
1107	3	-0.022148917964209147
1107	4	-0.1346542478228585
1107	5	0.022924258892174976
1107	6	-0.03844768365464546
1107	7	-0.036046467470065124
1107	8	-0.14666494690879261
1107	9	-0.03724826123947622
1107	10-14	-0.0749959398791944
1107	15-19	-0.14089660715079333
1107	20-24	-0.09164679088139849
1107	25-29	-0.14421858435634505
1107	30-34	-0.20384806828024438
1107	35-39	-0.1552059698153414
1107	40-44	-0.1504488471486951
1107	45-49	-0.21566183187611188
1107	50-54	-0.13894028609927744
1107	55-59	-0.1475480153702975
