gene_id,091304_G,091305_G,091301_G,090902_G,042008_G,042005_G,042004_G,042002_G,042001_G
g14461.t2,0,0,0,0,0,0,0,0,0
g14462.t1,828,344,2053,1110,1885,1486,2324,1537,3184
g14463.t1,50,0,388,201,174,156,138,195,352
g14464.t1,196,1572,3118,1708,1096,789,589,1113,1080
g14465.t1,231,916,1908,1702,1875,3810,3705,1594,639
g14466.t1,0,0,0,0,0,0,0,0,0
g14467.t1,0,0,0,0,0,0,0,0,6
g14468.t1,0,0,0,0,33,0,0,0,0
g14469.t1,0,11,68,11,659,1347,16,48,430
g1447.t1,71,0,186,103,151,233,200,186,244
g14470.t1,0,0,0,0,37,170,22,0,122
g14471.t1,0,69,78,94,124,74,212,107,225
g14472.t1,0,0,0,0,0,0,0,0,0
g14473.t1,0,0,0,0,0,0,0,0,0
g14474.t1,0,0,0,2,0,0,0,0,0
g14475.t1,0,0,0,0,0,0,0,0,0
g14476.t1,0,0,0,0,0,0,0,0,0
g14477.t1,0,0,0,0,0,0,0,0,0
g14478.t1,0,0,0,0,0,0,0,0,32
g14479.t1,0,0,0,0,0,0,0,16,0
g1448.t1,0,285,237,220,660,240,232,365,764
g14480.t1,0,0,0,0,6,0,0,21,47
g14481.t1,0,0,0,0,0,0,0,0,0
g14482.t1,36,0,66,0,10,115,0,118,47
g14483.t1,0,0,0,0,6,2,0,0,0
g14484.t1,0,0,0,0,0,0,0,0,0
g14485.t1,0,0,0,0,0,0,0,0,0
g14486.t1,1017,602,2422,1674,1738,1322,1696,1588,2616
g14487.t1,0,0,0,0,0,0,0,0,0
g14487.t2,0,0,0,0,0,0,0,0,0
g14488.t1,0,0,0,18,216,0,22,907,1470
g14489.t1,0,0,0,0,0,0,16,0,0
g1449.t1,1809,1037,3106,2028,4015,4232,4502,3536,3735
g14490.t1,0,0,0,0,8,0,61,0,7
g14491.t1,0,0,0,38,4,0,1,12,8
g14491.t2,0,95,0,0,2,2,0,9,0
g14492.t1,6964,10528,15199,13822,24700,35509,42830,28701,17670
g14493.t1,137,318,1225,75,417,277,184,283,200
g14494.t1,41669,30348,78378,29290,36611,13569,37847,22142,25515
g14495.t1,15183,7918,25274,25854,558,196,37,384,776
g14496.t1,1632,3830,4151,2006,3384,580,6029,1127,788
g14497.t1,959,668,3758,1952,6600,3450,4330,3640,4076
g14498.t1,237,86,401,251,1183,737,1043,693,1950
g14499.t1,124,0,0,20,312,203,144,82,269
g145.t1,221,72,556,246,854,1183,1238,1245,861
g1450.t1,0,0,0,0,0,0,0,0,0
g1450.t2,0,0,0,0,0,0,0,0,0
g14500.t1,315,45,277,201,238,182,373,217,305
g14501.t1,0,0,0,0,0,0,0,0,27
g14501.t2,0,0,0,0,25,3,22,15,8
g14502.t1,207,496,263,350,342,187,187,117,184
g14503.t1,0,0,0,0,0,0,0,0,0
g14504.t1,0,0,0,0,0,0,0,0,0
g14505.t1,0,0,0,0,0,0,0,0,0
g14506.t1,0,0,0,0,0,0,0,0,0
g14507.t1,0,0,0,0,2,17,57,21,79
g14508.t1,0,0,32,0,26,2,0,0,0
g14509.t1,0,0,20,0,0,17,0,8,20
g1451.t1,299,170,1145,479,944,649,1111,816,1259
g14510.t1,0,0,0,0,0,12,0,13,21
g14511.t1,228,0,115,355,398,1277,1303,352,28
g14512.t1,0,0,0,0,340,17,12,0,14
g14513.t1,0,0,0,0,0,0,0,0,4
g14514.t1,0,0,184,226,766,62,0,74,118
g14515.t1,0,0,0,36,37,49,16,8,32
g14516.t1,0,0,0,0,205,9,15,2,119
g14517.t1,529,396,676,873,245,482,138,795,293
g14518.t1,62,0,70,0,24,30,16,22,20
g14519.t1,323,256,767,443,494,440,618,385,464
g1452.t1,38,0,947,163,351,359,977,460,1561
g14520.t1,1754,2052,2762,1985,1083,2377,950,941,174
g14521.t1,468,496,54,555,112,447,899,392,9
g14522.t1,154,168,538,491,331,504,299,197,30
g14523.t1,824,639,760,1355,3453,466,559,610,6473
g14524.t1,0,0,0,21,0,23,19,63,50
g14525.t1,0,0,0,0,0,0,0,0,0
g14526.t1,883,98,520,849,169,578,1924,490,73
g14527.t1,492,542,623,727,1970,1511,1727,2182,1807
g14528.t1,10337,7521,12930,13747,18151,18959,24125,18570,8935
g14529.t1,769,514,1258,1971,2229,1961,3002,1316,1720
g1453.t1,1373,185,954,914,976,1125,959,1030,977
g14530.t1,1874,1199,5151,4684,9476,6434,11685,4034,5348
g14531.t1,2167,912,2379,1973,3101,2629,3738,2603,2977
g14532.t1,510,95,404,830,1925,1026,1558,948,1488
g14533.t1,0,0,0,0,0,0,0,0,0
g14534.t1,0,0,0,0,11,0,7,0,19
g14535.t1,0,0,0,12,8,13,0,4,0
g14536.t1,0,0,0,0,0,0,0,86,20
g14537.t1,0,0,0,0,1,0,0,28,37
g14538.t1,0,0,0,0,0,0,0,0,0
g14539.t1,0,142,0,0,0,0,0,0,0
g1454.t1,0,0,0,62,89,253,126,150,809
g14540.t1,0,0,0,0,0,0,0,0,0
g14541.t1,0,0,0,0,0,0,0,0,0
g14542.t1,18,0,16,0,18,0,0,0,0
g14543.t1,26,0,0,0,13,0,0,0,0
g14544.t1,0,0,0,0,0,0,0,0,0
g14545.t1,0,0,0,0,7,0,0,0,1
g14546.t1,695,509,2902,1144,3869,814,402,1319,352
g14547.t1,232,485,1186,487,2400,488,268,850,229
g14548.t1,608,1114,1907,854,4315,931,573,1626,473
g14549.t1,0,0,69,0,69,16,2,23,22
g1455.t1,965,672,917,1658,1577,1201,1995,1141,1479
g14550.t1,0,0,98,37,352,58,39,164,6
g14551.t1,0,0,45,0,0,0,12,8,0
g14552.t1,0,0,0,0,14,0,0,27,0
g14553.t1,0,0,0,0,0,16,0,0,0
g14554.t1,252,71,384,342,594,380,430,723,1214
g14555.t1,1464,1108,3265,1860,2069,2203,2234,1716,3895
g14556.t1,31,18,1,10,48,6,38,5,95
g14557.t1,490,461,1381,854,626,233,140,268,101
g14558.t1,19550,12829,23035,21008,47587,21239,26327,24575,53424
g14559.t1,22,317,251,431,425,404,573,360,741
g1456.t1,489,289,493,790,1786,1040,1892,1089,1804
g14560.t1,6,0,0,36,7,17,18,6,7
g14560.t2,0,0,0,0,0,0,0,0,0
g14561.t1,0,0,0,0,0,0,0,0,0
g14562.t1,0,0,64,0,6,0,16,14,0
g14563.t1,0,0,0,0,80,51,254,46,746
g14564.t1,0,0,0,0,0,0,0,0,0
g14565.t1,1,0,79,10,40,351,279,277,485
g14566.t1,192,0,321,0,0,15,0,8,25
g14567.t1,0,0,0,0,0,0,0,0,0
g14568.t1,0,0,0,0,0,0,0,0,0
g14569.t1,0,58,0,0,0,1,0,0,0
g1457.t1,196,0,31,179,285,266,398,209,535
g14570.t1,0,0,0,0,0,0,0,0,0
g14571.t1,0,0,0,0,0,18,0,0,0
g14572.t1,0,0,0,0,0,9,0,0,27
g14573.t1,0,0,0,0,0,0,0,0,0
g14574.t1,613,306,3182,1507,26598,652,13,2216,14888
g14575.t1,221,0,345,231,484,363,424,266,793
g14576.t1,0,26,0,73,4,0,28,11,94
g14577.t1,378,72,1033,303,489,833,895,479,1001
g14578.t1,0,0,0,0,0,0,0,0,22
g14579.t1,0,0,1,8,2,5,0,0,100
g1458.t1,552,235,735,446,1227,876,1467,626,1771
g14580.t1,0,0,40,0,0,0,0,0,55
g14581.t1,0,0,0,0,0,0,0,0,0
g14581.t2,0,0,0,0,0,0,0,0,0
g14582.t1,0,0,52,0,7,10,5,0,73
g14583.t1,3,0,68,3,38,0,36,121,158
g14584.t1,132,0,0,19,218,103,25,78,227
g14585.t1,0,0,0,0,0,1,9,0,11
g14585.t2,0,0,0,0,0,0,0,0,0
g14586.t1,456,110,1040,969,1175,1057,1492,1169,2272
g14587.t1,0,0,0,0,0,0,0,0,0
g14587.t2,0,0,0,0,0,0,0,0,0
g14587.t3,0,0,0,0,0,0,0,0,0
g14587.t4,0,0,0,0,0,0,0,0,0
g14588.t1,75,210,430,395,23,63,30,147,4543
g14589.t1,0,0,26,0,18,18,38,245,290
g1459.t1,0,0,0,90,83,0,18,6,0
g14590.t1,519,326,854,470,699,865,882,739,880
g14591.t1,0,0,210,53,5,14,0,11,54
g14592.t1,0,0,0,42,12,13,18,19,85
g14593.t1,0,0,0,0,47,10,16,24,443
g14594.t1,83,0,14,55,2169,0,0,14,36
g14595.t1,563,588,3234,1233,4160,3600,3887,2544,5738
g14596.t1,273,307,387,302,389,432,539,504,1601
g14597.t1,2399,1217,5996,5604,6533,2807,1273,3371,1784
g14598.t1,5978,5665,13066,5103,2513,16828,13655,7942,1202
g14599.t1,33,0,0,47,0,31,24,28,0
g146.t1,238,801,604,516,1089,837,1263,837,3843
