"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"g17096.t1",1466.42622665996,-2.53445520886942,0.462761052548335,-5.47681183391011,4.33057288452143e-08,9.93953088455359e-06
"g1830.t1",4115.23422065869,-2.58119736303821,0.472155147427538,-5.46684151830486,4.58125305672294e-08,1.03087176625397e-05
"g1005.t1",1373.06314048018,1.90326439313722,0.351109454507153,5.42071530317747,5.9361031356383e-08,1.31005229970356e-05
"g4943.t1",15224.1729504196,-5.08442247671098,0.941859440981933,-5.39828158584919,6.72822109456147e-08,1.45685028832429e-05
"g12422.t1",112.63470883548,-5.65228534516614,1.04962190112772,-5.38506803172961,7.24172523749327e-08,1.53900071899024e-05
"g15615.t1",24.0277115521699,7.39660673732982,1.37814707775345,5.36706629990986,8.00276452850655e-08,1.66981319507529e-05
"g8773.t1",27588.0115473464,-0.831524225374889,0.157783030175699,-5.27004852453997,1.36387697858151e-07,2.79497360825025e-05
"g13612.t1",18358.1461368261,-2.10964588494791,0.401210170872929,-5.2582063918217,1.45467206437932e-07,2.9287397562837e-05
"g8098.t1",240.810960109715,1.70832496683452,0.329329186125147,5.18728688135568,2.13379894801939e-07,4.22197874611561e-05
"g13693.t1",1645.70364586843,-2.9471943869973,0.574036335708389,-5.13415998894969,2.83406940752784e-07,5.51250517301518e-05
"g17798.t1",377.846430079987,-6.47502198218014,1.26266591369363,-5.12805637022308,2.92748795137199e-07,5.59930862165749e-05
"g5280.t1",15.9162858873112,5.80680494640321,1.13355433600425,5.12265249398812,3.01267271049622e-07,5.66777574191058e-05
"g17006.t1",125.276534768223,-3.61399203082442,0.717694910554745,-5.03555477080222,4.7646686317357e-07,8.81924793835467e-05
"g10028.t1",16385.0872267369,-2.87183150926768,0.570960616936787,-5.02982416663885,4.9092983640333e-07,8.94271555962637e-05
"g7321.t1",4064.10011384946,4.12930478266176,0.826504765314689,4.99610523248411,5.84997465169628e-07,0.000104897357973229
"g1870.t1",3198.78174445241,-4.01233495711993,0.803734384219134,-4.99211559925746,5.97214911581402e-07,0.000105440589620126
"g5242.t1",37.0689746794666,6.21919534337487,1.24912125833863,4.9788563775198,6.39610824463322e-07,0.000111214754871835
"g15174.t1",397.588880377612,-2.53737308658836,0.511518852781184,-4.96046836356546,7.03234142151446e-07,0.000120452462915373
"g687.t1",9.05555732112238,5.98062382307862,1.2069435929399,4.95518088671473,7.22630306504135e-07,0.000121954491138845
"g16750.t1",16898.5469522397,-0.702748995870599,0.142250904991814,-4.94020755728086,7.80394555606787e-07,0.000127940113144907
"g7001.t1",3042.96538733911,-3.33082483097528,0.67399517011885,-4.94191201754151,7.73601270594141e-07,0.000127940113144907
"g10289.t1",7709.24142899463,-2.33355991090703,0.473056019119035,-4.93294624017845,8.09984542982071e-07,0.000129106851577568
"g5990.t1",2232.0104758579,-5.30476123061835,1.0753752403403,-4.93293971408497,8.10011616729249e-07,0.000129106851577568
"g7740.t1",17032.2874044305,4.34578520336398,0.883754318567217,4.91741325848292,8.76952940718993e-07,0.000137861807502619
"g7391.t1",281.454384653008,-2.22407296091009,0.454193533997782,-4.89675170259237,9.74338235652457e-07,0.000151101426923616
"g15443.t1",267.009878407921,-3.01697626684735,0.618010709995008,-4.88175401826242,1.05146365383604e-06,0.000160887958552299
"g14093.t1",5230.4106408141,-1.2044112747611,0.247963129140485,-4.85721921213027,1.19045776856368e-06,0.000179759123053116
"g1168.t1",409.4521918414,-2.7610515413883,0.570347208241501,-4.84100123835303,1.29186567460297e-06,0.000192538317944724
"g15640.t1",8911.30096753403,-6.99575498446976,1.45051949833969,-4.82293067585601,1.41464148050362e-06,0.00020549905861088
"g7728.t1",2167.53322842982,3.36383946226405,0.697154535119998,4.82509873034829,1.39933930730593e-06,0.00020549905861088
"g6233.t1",4152.10252077516,3.79953464469421,0.79436898066849,4.78308536355078,1.7262477109547e-06,0.000246741641507674
"g7908.t1",692.417063919639,-2.16898011389061,0.45363707944344,-4.78131134375457,1.74155393535392e-06,0.000246741641507674
"g11011.t1",1760.13281024138,-6.86493272735154,1.44565579753518,-4.74866336721104,2.04765446214967e-06,0.000286571739117434
"g17221.t1",339.815098498586,1.21430150978025,0.256202350179629,4.73961893374077,2.14120523954415e-06,0.00029605387143384
"g8425.t1",5661.34599212458,-0.707458494009824,0.149347971983942,-4.73698092188283,2.16925577922733e-06,0.000296361658600153
"g269.t1",123.737820019148,-3.24911102276704,0.687006972379071,-4.72937124861415,2.25216225338779e-06,0.000304068400233862
"g14507.t1",14.5618005925595,6.12399813232132,1.29793864421866,4.71824932526596,2.3788284788589e-06,0.000313786616360744
"g16163.t1",523.437055037062,-3.87681891052958,0.821490785961582,-4.71924819703442,2.36717859412915e-06,0.000313786616360744
"g10390.t1",659.080068503223,-4.73180755097314,1.00399293799754,-4.71298887859781,2.44109524754511e-06,0.000318341012054861
"g11855.t1",10609.6494651093,-1.26628854044581,0.269747397763532,-4.69434942077132,2.67456533683917e-06,0.000344318296005967
"g8014.t1",23.882591352232,6.43416344322379,1.37119073194339,4.69239128688147,2.70030033465816e-06,0.000344318296005967
"g6008.t1",71.168438836864,-5.16365539468438,1.10312678750301,-4.68092648386555,2.85581343915551e-06,0.000360146318986248
"g4785.t1",291059.803943785,-3.10148547352914,0.663415449838072,-4.67502750242877,2.93914228753701e-06,0.000366626053171464
"g14076.t1",1249.71714176854,-2.03638138864607,0.437317579870315,-4.65652761832706,3.21587156930194e-06,0.000396831635799022
"g9830.t1",123.543718369919,-10.5994361900851,2.29185423665533,-4.62482998288481,3.74905790068598e-06,0.000457704132641194
"g10391.t1",7357.34346378769,-6.64944867130675,1.43894299811753,-4.62106468428962,3.81775708878395e-06,0.000458354784006019
"g7496.t1",773.608224554262,2.53560690916301,0.548812537464803,4.62016943139829,3.83426797356028e-06,0.000458354784006019
"g3057.t1",20.7102472210049,5.33813195770026,1.15630542425306,4.61654148266974,3.90188056235025e-06,0.000461628673541562
"g14899.t1",386.118853198705,-3.55096854480772,0.776895172662673,-4.570717736136,4.86056605242791e-06,0.000569182204261864
"g11213.t1",371.629329058245,-3.31480432978351,0.728665797870614,-4.54914219861889,5.38650364882406e-06,0.000624399150241464
"g8326.t1",11.984510351461,6.97563937706535,1.53575967527704,4.54214255613072,5.56853630653488e-06,0.000639045226537943
"g10509.t1",804.926905627226,-3.23287154582419,0.712162617482105,-4.53951312026768,5.6384272063088e-06,0.000640659313065344
"g7130.t1",319.095576190631,11.70890626839,2.58687410377367,4.52627603767395,6.00321560538174e-06,0.000675420610660401
"g4601.t1",1615.51278538298,1.5700356586014,0.349787711713311,4.48853863650936,7.17134191450423e-06,0.000799012813697578
"g6432.t1",20.079606696081,7.71937043286733,1.72152518787052,4.48402990978947,7.32463886698715e-06,0.000808245727284082
"g15669.t1",13226.6341630184,-1.52608694073117,0.340935955846835,-4.47616895361063,7.59943544299406e-06,0.000830582106131427
"g14727.t1",42.8420116771607,8.81227209432866,1.97103606708005,4.47088322812043,7.78972242771487e-06,0.000843347684721282
"g12825.t1",11327.7602843116,3.10621521779788,0.695580176837824,4.46564655122727,7.98273058035496e-06,0.000856166505982743
"g10589.t1",9270.61596433672,-1.97999673656806,0.443946430664087,-4.45999021459917,8.19633950905548e-06,0.000870936964869636
"g1030.t1",3896.99105778512,-3.74791590536441,0.841861931939843,-4.4519365506032,8.50993141317995e-06,0.000895963054106909
"g938.t1",2868.97398817894,-3.96095061894268,0.890228525417739,-4.44936384967445,8.61250055057924e-06,0.000898518693804067
"g14715.t1",19.1927108098077,7.65452588778096,1.72161475807176,4.44613166324979,8.74303747709043e-06,0.000903919802586394
"g10526.t1",3478.17181095278,-4.3678470574892,0.986551580325836,-4.42738843522667,9.53808774225843e-06,0.00096866455690405
"g9938.t1",59.7781515397728,-9.55050726045692,2.15649752036986,-4.42871237747537,9.4797342503299e-06,0.00096866455690405
"g9939.t1",70.529881778473,-9.7889146613695,2.21356276299122,-4.4222440063735,9.76810509474277e-06,0.000983322579537439
"g2094.t1",10427.5255337148,-2.14578218421241,0.486399104275826,-4.41156689095297,1.02625239069503e-05,0.00102411064657532
"g17447.t1",283.926789404238,-4.39065185638651,0.996784461809553,-4.40481570952236,1.0587384600793e-05,0.00104742091102328
"g14128.t1",783.269314882926,1.13146443644287,0.257170410526456,4.39966804161738,1.08416596395564e-05,0.00106340928225256
"g9313.t1",288.294370512815,-6.16002444094385,1.40317791584908,-4.39005230296568,1.13323400376807e-05,0.00110211808705444
"g9518.t1",5533.32461398115,3.12031089806889,0.712199268919171,4.38123294173589,1.18009623487531e-05,0.00113804910852345
"g12279.t1",171159.550147174,-3.4708678736718,0.795215092629385,-4.36469064262268,1.27302785934168e-05,0.00121743897615042
"g1981.t1",907.87484017591,-4.01028473341174,0.921678888062174,-4.35106498082358,1.35477891174166e-05,0.00128491262736754
"g16197.t1",362.317818191897,0.705713182261678,0.162576394317825,4.34080965581054,1.41958658376612e-05,0.00133534226518852
